enrollment_id,student_id,course_id,term,status,midterm_score,final_score,project_score,attendance_pct
E5001,S1001,C102,Spring 2026,Completed,96,65,65,94.7
E5002,S1001,C106,Spring 2026,Completed,81,80,63,96.6
E5003,S1001,C103,Spring 2026,Completed,77,67,72,88.6
E5004,S1002,C106,Fall 2025,Completed,86,,85,77.3
E5005,S1002,C101,Fall 2025,Completed,90,55,79,85.8
E5006,S1003,C102,Fall 2026,Enrolled,93,76,95,88.4
E5007,S1004,C105,Spring 2026,Completed,98,73,88,89.5
E5008,S1004,C101,Fall 2025,Completed,87,58,,75.6
E5009,S1004,C104,Fall 2026,Enrolled,93,79,73,92.3
E5010,S1005,C101,Spring 2026,Completed,73,57,99,82.9
E5011,S1005,C108,Fall 2025,Completed,68,55,82,91.0
E5012,S1006,C105,Fall 2026,Enrolled,75,,68,97.2
E5013,S1006,C101,Fall 2026,Enrolled,98,81,82,80.0
E5014,S1007,C103,Fall 2025,Completed,61,93,86,85.8
E5015,S1007,C106,Spring 2026,Completed,59,82,60,96.9
E5016,S1008,C104,Spring 2026,Completed,83,83,78,85.8
E5017,S1008,C102,Fall 2025,Completed,89,65,79,
E5018,S1008,C101,Spring 2026,Completed,74,70,62,87.4
E5019,S1009,C103,Fall 2026,Enrolled,84,61,81,74.4
E5020,S1009,C108,Spring 2026,Completed,73,,71,84.2
E5021,S1010,C102,Fall 2026,Enrolled,74,97,81,79.5
E5022,S1010,C108,Fall 2026,Enrolled,66,70,100,72.1
E5023,S1011,C108,Fall 2026,Enrolled,61,59,79,94.4
E5024,S1012,C108,Fall 2026,Enrolled,66,76,66,78.0
E5025,S1013,C108,Fall 2025,Completed,83,70,,91.2
E5026,S1013,C104,Fall 2026,Enrolled,68,78,77,81.7
E5027,S1014,C102,Fall 2025,Completed,71,62,61,82.3
E5028,S1014,C101,Fall 2025,Completed,88,,77,77.6
E5029,S1015,C105,Fall 2026,Enrolled,61,96,88,82.3
E5030,S1016,C106,Fall 2026,Enrolled,79,98,96,79.1
E5031,S1016,C101,Fall 2025,Completed,76,64,99,89.7
E5032,S1016,C102,Spring 2026,Completed,75,89,75,74.4
E5033,S1017,C102,Fall 2025,Completed,70,97,87,96.9
E5034,S1017,C107,Spring 2026,Completed,61,70,86,
E5035,S1018,C108,Fall 2026,Enrolled,74,87,64,99.8
E5036,S1018,C107,Fall 2026,Enrolled,61,64,93,73.7
E5037,S1018,C105,Spring 2026,Completed,58,,65,95.9
E5038,S1019,C104,Fall 2025,Completed,77,62,97,74.1
E5039,S1019,C103,Fall 2026,Enrolled,61,77,95,96.1
E5040,S1020,C103,Fall 2025,Completed,91,61,73,97.6
E5041,S1020,C102,Spring 2026,Completed,67,56,76,80.4
E5042,S1021,C107,Fall 2025,Completed,89,68,,73.9
E5043,S1021,C101,Fall 2026,Enrolled,79,92,71,91.9
E5044,S1022,C107,Fall 2025,Completed,76,74,72,92.6
E5045,S1022,C102,Spring 2026,Completed,62,61,71,85.2
E5046,S1023,C102,Fall 2025,Completed,98,84,86,80.6
E5047,S1023,C106,Spring 2026,Completed,70,74,98,77.8
E5048,S1024,C106,Fall 2026,Enrolled,77,85,66,73.0
E5049,S1024,C101,Spring 2026,Completed,77,84,82,83.5
E5050,S1025,C102,Fall 2025,Completed,80,79,64,79.7
E5051,S1025,C106,Fall 2025,Completed,92,58,75,87.6
E5052,S1026,C104,Fall 2026,Enrolled,70,63,68,90.7
E5053,S1027,C107,Fall 2026,Enrolled,87,64,94,77.3
E5054,S1028,C107,Fall 2025,Completed,85,98,88,72.1
E5055,S1028,C105,Spring 2026,Completed,73,95,85,91.9
E5056,S1029,C104,Spring 2026,Completed,88,57,85,80.3
E5057,S1029,C108,Fall 2026,Enrolled,73,62,78,94.2
E5058,S9999,C106,Fall 2026,Enrolled,84,88,91,94.0
E5059,S1008,C999,Fall 2026,Enrolled,79,82,86,89.0
